id,charcter
1,亜
2,哀
3,挨
4,愛
5,曖
6,悪
7,握
8,圧
9,扱
10,宛
11,嵐
12,安
13,案
14,暗
15,以
16,衣
17,位
18,囲
19,医
20,依
21,委
22,威
23,為
24,畏
25,胃
26,尉
27,異
28,移
29,萎
30,偉
31,椅
32,彙
33,意
34,違
35,維
36,慰
37,遺
38,緯
39,域
40,育
41,一
42,壱
43,逸
44,茨
45,芋
46,引
47,印
48,因
49,咽
50,姻
51,員
52,院
53,淫
54,陰
55,飲
56,隠
57,韻
58,右
59,宇
60,羽
61,雨
62,唄
63,鬱
64,畝
65,浦
66,運
67,雲
68,永
69,泳
70,英
71,映
72,栄
73,営
74,詠
75,影
76,鋭
77,衛
78,易
79,疫
80,益
81,液
82,駅
83,悦
84,越
85,謁
86,閲
87,円
88,延
89,沿
90,炎
91,怨
92,宴
93,媛
94,援
95,園
96,煙
97,猿
98,遠
99,鉛
100,塩
101,演
102,縁
103,艶
104,汚
105,王
106,凹
107,央
108,応
109,往
110,押
111,旺
112,欧
113,殴
114,桜
115,翁
116,奥
117,横
118,岡
119,屋
120,億
121,憶
122,臆
123,虞
124,乙
125,俺
126,卸
127,音
128,恩
129,温
130,穏
131,下
132,化
133,火
134,加
135,可
136,仮
137,何
138,花
139,佳
140,価
141,果
142,河
143,苛
144,科
145,架
146,夏
147,家
148,荷
149,華
150,菓
151,貨
152,渦
153,過
154,嫁
155,暇
156,禍
157,靴
158,寡
159,歌
160,箇
161,稼
162,課
163,蚊
164,牙
165,瓦
166,我
167,画
168,芽
169,賀
170,雅
171,餓
172,介
173,回
174,灰
175,会
176,快
177,戒
178,改
179,怪
180,拐
181,悔
182,海
183,界
184,皆
185,械
186,絵
187,開
188,階
189,塊
190,楷
191,解
192,潰
193,壊
194,懐
195,諧
196,貝
197,外
198,劾
199,害
200,崖
201,涯
202,街
203,慨
204,蓋
205,該
206,概
207,骸
208,垣
209,柿
210,各
211,角
212,拡
213,革
214,格
215,核
216,殻
217,郭
218,覚
219,較
220,隔
221,閣
222,確
223,獲
224,嚇
225,穫
226,学
227,岳
228,楽
229,額
230,顎
231,掛
232,潟
233,括
234,活
235,喝
236,渇
237,割
238,葛
239,滑
240,褐
241,轄
242,且
243,株
244,釜
245,鎌
246,刈
247,干
248,刊
249,甘
250,汗
251,缶
252,完
253,肝
254,官
255,冠
256,巻
257,看
258,陥
259,乾
260,勘
261,患
262,貫
263,寒
264,喚
265,堪
266,換
267,敢
268,棺
269,款
270,間
271,閑
272,勧
273,寛
274,幹
275,感
276,漢
277,慣
278,管
279,関
280,歓
281,監
282,緩
283,憾
284,還
285,館
286,環
287,簡
288,観
289,韓
290,艦
291,鑑
292,丸
293,含
294,岸
295,岩
296,玩
297,眼
298,頑
299,顔
300,願
301,企
302,伎
303,危
304,机
305,気
306,岐
307,希
308,忌
309,汽
310,奇
311,祈
312,季
313,紀
314,軌
315,既
316,記
317,起
318,飢
319,鬼
320,帰
321,基
322,寄
323,規
324,亀
325,喜
326,幾
327,揮
328,期
329,棋
330,貴
331,棄
332,毀
333,旗
334,器
335,畿
336,輝
337,機
338,騎
339,技
340,宜
341,偽
342,欺
343,義
344,疑
345,儀
346,戯
347,擬
348,犠
349,議
350,菊
351,吉
352,喫
353,詰
354,却
355,客
356,脚
357,逆
358,虐
359,九
360,久
361,及
362,弓
363,丘
364,旧
365,休
366,吸
367,朽
368,臼
369,求
370,究
371,泣
372,急
373,級
374,糾
375,宮
376,救
377,球
378,給
379,嗅
380,窮
381,牛
382,去
383,巨
384,居
385,拒
386,拠
387,挙
388,虚
389,許
390,距
391,魚
392,御
393,漁
394,凶
395,共
396,叫
397,狂
398,京
399,享
400,供
401,協
402,況
403,峡
404,挟
405,狭
406,恐
407,恭
408,胸
409,脅
410,強
411,教
412,郷
413,境
414,橋
415,矯
416,鏡
417,競
418,響
419,驚
420,仰
421,暁
422,業
423,凝
424,曲
425,局
426,極
427,玉
428,巾
429,斤
430,均
431,近
432,金
433,菌
434,勤
435,琴
436,筋
437,僅
438,禁
439,緊
440,錦
441,謹
442,襟
443,吟
444,銀
445,区
446,句
447,苦
448,駆
449,具
450,惧
451,愚
452,空
453,偶
454,遇
455,隅
456,串
457,屈
458,掘
459,窟
460,熊
461,繰
462,君
463,訓
464,勲
465,薫
466,軍
467,郡
468,群
469,兄
470,刑
471,形
472,系
473,径
474,茎
475,係
476,型
477,契
478,計
479,恵
480,啓
481,掲
482,渓
483,経
484,蛍
485,敬
486,景
487,軽
488,傾
489,携
490,継
491,詣
492,慶
493,憬
494,稽
495,憩
496,警
497,鶏
498,芸
499,迎
500,鯨
501,隙
502,劇
503,撃
504,激
505,桁
506,欠
507,穴
508,血
509,決
510,結
511,傑
512,潔
513,月
514,犬
515,件
516,見
517,券
518,肩
519,建
520,研
521,県
522,倹
523,兼
524,剣
525,拳
526,軒
527,健
528,険
529,圏
530,堅
531,検
532,嫌
533,献
534,絹
535,遣
536,権
537,憲
538,賢
539,謙
540,鍵
541,繭
542,顕
543,験
544,懸
545,元
546,幻
547,玄
548,言
549,弦
550,限
551,原
552,現
553,舷
554,減
555,源
556,厳
557,己
558,戸
559,古
560,呼
561,固
562,股
563,虎
564,孤
565,弧
566,故
567,枯
568,個
569,庫
570,湖
571,雇
572,誇
573,鼓
574,錮
575,顧
576,五
577,互
578,午
579,呉
580,後
581,娯
582,悟
583,碁
584,語
585,誤
586,護
587,口
588,工
589,公
590,勾
591,孔
592,功
593,巧
594,広
595,甲
596,交
597,光
598,向
599,后
600,好
601,江
602,考
603,行
604,坑
605,孝
606,抗
607,攻
608,更
609,効
610,幸
611,拘
612,肯
613,侯
614,厚
615,恒
616,洪
617,皇
618,紅
619,荒
620,郊
621,香
622,候
623,校
624,耕
625,航
626,貢
627,降
628,高
629,康
630,控
631,梗
632,黄
633,喉
634,慌
635,港
636,硬
637,絞
638,項
639,溝
640,鉱
641,構
642,綱
643,酵
644,稿
645,興
646,衡
647,鋼
648,講
649,購
650,乞
651,号
652,合
653,拷
654,剛
655,傲
656,豪
657,克
658,告
659,谷
660,刻
661,国
662,黒
663,穀
664,酷
665,獄
666,骨
667,駒
668,込
669,頃
670,今
671,困
672,昆
673,恨
674,根
675,婚
676,混
677,痕
678,紺
679,魂
680,墾
681,懇
682,左
683,佐
684,沙
685,査
686,砂
687,唆
688,差
689,詐
690,鎖
691,座
692,挫
693,才
694,再
695,災
696,妻
697,采
698,砕
699,宰
700,栽
701,彩
702,採
703,済
704,祭
705,斎
706,細
707,菜
708,最
709,裁
710,債
711,催
712,塞
713,歳
714,載
715,際
716,埼
717,在
718,材
719,剤
720,財
721,罪
722,崎
723,作
724,削
725,昨
726,柵
727,索
728,策
729,酢
730,搾
731,錯
732,咲
733,冊
734,札
735,刷
736,刹
737,拶
738,殺
739,察
740,撮
741,擦
742,雑
743,皿
744,三
745,山
746,参
747,桟
748,蚕
749,惨
750,産
751,傘
752,散
753,算
754,酸
755,賛
756,残
757,斬
758,暫
759,士
760,子
761,支
762,止
763,氏
764,仕
765,史
766,司
767,四
768,市
769,矢
770,旨
771,死
772,糸
773,至
774,伺
775,志
776,私
777,使
778,刺
779,始
780,姉
781,枝
782,祉
783,肢
784,姿
785,思
786,指
787,施
788,師
789,恣
790,紙
791,脂
792,視
793,紫
794,詞
795,歯
796,嗣
797,試
798,詩
799,資
800,飼
801,誌
802,雌
803,摯
804,賜
805,諮
806,示
807,字
808,寺
809,次
810,耳
811,自
812,似
813,児
814,事
815,侍
816,治
817,持
818,時
819,滋
820,慈
821,辞
822,磁
823,餌
824,璽
825,鹿
826,式
827,識
828,軸
829,七
830,?-叱
831,失
832,室
833,疾
834,執
835,湿
836,嫉
837,漆
838,質
839,実
840,芝
841,写
842,社
843,車
844,舎
845,者
846,射
847,捨
848,赦
849,斜
850,煮
851,遮
852,謝
853,邪
854,蛇
855,勺
856,尺
857,借
858,酌
859,釈
860,爵
861,若
862,弱
863,寂
864,手
865,主
866,守
867,朱
868,取
869,狩
870,首
871,殊
872,珠
873,酒
874,腫
875,種
876,趣
877,寿
878,受
879,呪
880,授
881,需
882,儒
883,樹
884,収
885,囚
886,州
887,舟
888,秀
889,周
890,宗
891,拾
892,秋
893,臭
894,修
895,袖
896,終
897,羞
898,習
899,週
900,就
901,衆
902,集
903,愁
904,酬
905,醜
906,蹴
907,襲
908,十
909,汁
910,充
911,住
912,柔
913,重
914,従
915,渋
916,銃
917,獣
918,縦
919,叔
920,祝
921,宿
922,淑
923,粛
924,縮
925,塾
926,熟
927,出
928,述
929,術
930,俊
931,春
932,瞬
933,旬
934,巡
935,盾
936,准
937,殉
938,純
939,循
940,順
941,準
942,潤
943,遵
944,処
945,初
946,所
947,書
948,庶
949,暑
950,署
951,緒
952,諸
953,女
954,如
955,助
956,序
957,叙
958,徐
959,除
960,小
961,升
962,少
963,召
964,匠
965,床
966,抄
967,肖
968,尚
969,招
970,承
971,昇
972,松
973,沼
974,昭
975,宵
976,将
977,消
978,症
979,祥
980,称
981,笑
982,唱
983,商
984,渉
985,章
986,紹
987,訟
988,勝
989,掌
990,晶
991,焼
992,焦
993,硝
994,粧
995,詔
996,証
997,象
998,傷
999,奨
1000,照
1001,詳
1002,彰
1003,障
1004,憧
1005,衝
1006,賞
1007,償
1008,礁
1009,鐘
1010,上
1011,丈
1012,冗
1013,条
1014,状
1015,乗
1016,城
1017,浄
1018,剰
1019,常
1020,情
1021,場
1022,畳
1023,蒸
1024,縄
1025,壌
1026,嬢
1027,錠
1028,譲
1029,醸
1030,色
1031,拭
1032,食
1033,植
1034,殖
1035,飾
1036,触
1037,嘱
1038,織
1039,職
1040,辱
1041,尻
1042,心
1043,申
1044,伸
1045,臣
1046,芯
1047,身
1048,辛
1049,侵
1050,信
1051,津
1052,神
1053,唇
1054,娠
1055,振
1056,浸
1057,真
1058,針
1059,深
1060,紳
1061,進
1062,森
1063,診
1064,寝
1065,慎
1066,新
1067,審
1068,震
1069,薪
1070,親
1071,人
1072,刃
1073,仁
1074,尽
1075,迅
1076,甚
1077,陣
1078,尋
1079,腎
1080,須
1081,図
1082,水
1083,吹
1084,垂
1085,炊
1086,帥
1087,粋
1088,衰
1089,推
1090,酔
1091,遂
1092,睡
1093,穂
1094,錘
1095,随
1096,髄
1097,枢
1098,崇
1099,数
1100,据
1101,杉
1102,裾
1103,寸
1104,瀬
1105,是
1106,井
1107,世
1108,正
1109,生
1110,成
1111,西
1112,声
1113,制
1114,姓
1115,征
1116,性
1117,青
1118,斉
1119,政
1120,星
1121,牲
1122,省
1123,凄
1124,逝
1125,清
1126,盛
1127,婿
1128,晴
1129,勢
1130,聖
1131,誠
1132,精
1133,製
1134,誓
1135,静
1136,請
1137,整
1138,醒
1139,税
1140,夕
1141,斥
1142,石
1143,赤
1144,昔
1145,析
1146,席
1147,脊
1148,隻
1149,惜
1150,戚
1151,責
1152,跡
1153,積
1154,績
1155,籍
1156,切
1157,折
1158,拙
1159,窃
1160,接
1161,設
1162,雪
1163,摂
1164,節
1165,説
1166,舌
1167,絶
1168,千
1169,川
1170,仙
1171,占
1172,先
1173,宣
1174,専
1175,泉
1176,浅
1177,洗
1178,染
1179,扇
1180,栓
1181,旋
1182,船
1183,戦
1184,煎
1185,羨
1186,腺
1187,詮
1188,践
1189,箋
1190,銭
1191,銑
1192,潜
1193,線
1194,遷
1195,選
1196,薦
1197,繊
1198,鮮
1199,全
1200,前
1201,善
1202,然
1203,禅
1204,漸
1205,膳
1206,繕
1207,狙
1208,阻
1209,祖
1210,租
1211,素
1212,措
1213,粗
1214,組
1215,疎
1216,訴
1217,塑
1218,遡
1219,礎
1220,双
1221,壮
1222,早
1223,争
1224,走
1225,奏
1226,相
1227,荘
1228,草
1229,送
1230,倉
1231,捜
1232,挿
1233,桑
1234,巣
1235,掃
1236,曹
1237,曽
1238,爽
1239,窓
1240,創
1241,喪
1242,痩
1243,葬
1244,装
1245,僧
1246,想
1247,層
1248,総
1249,遭
1250,槽
1251,踪
1252,操
1253,燥
1254,霜
1255,騒
1256,藻
1257,造
1258,像
1259,増
1260,憎
1261,蔵
1262,贈
1263,臓
1264,即
1265,束
1266,足
1267,促
1268,則
1269,息
1270,捉
1271,速
1272,側
1273,測
1274,俗
1275,族
1276,属
1277,賊
1278,続
1279,卒
1280,率
1281,存
1282,村
1283,孫
1284,尊
1285,損
1286,遜
1287,他
1288,多
1289,汰
1290,打
1291,妥
1292,唾
1293,堕
1294,惰
1295,駄
1296,太
1297,対
1298,体
1299,耐
1300,待
1301,怠
1302,胎
1303,退
1304,帯
1305,泰
1306,堆
1307,袋
1308,逮
1309,替
1310,貸
1311,隊
1312,滞
1313,態
1314,戴
1315,大
1316,代
1317,台
1318,第
1319,題
1320,滝
1321,宅
1322,択
1323,沢
1324,卓
1325,拓
1326,託
1327,濯
1328,諾
1329,濁
1330,但
1331,達
1332,脱
1333,奪
1334,棚
1335,誰
1336,丹
1337,旦
1338,担
1339,単
1340,炭
1341,胆
1342,探
1343,淡
1344,短
1345,嘆
1346,端
1347,綻
1348,誕
1349,鍛
1350,団
1351,男
1352,段
1353,断
1354,弾
1355,暖
1356,談
1357,壇
1358,地
1359,池
1360,知
1361,値
1362,恥
1363,致
1364,遅
1365,痴
1366,稚
1367,置
1368,緻
1369,竹
1370,畜
1371,逐
1372,蓄
1373,築
1374,秩
1375,窒
1376,茶
1377,着
1378,嫡
1379,中
1380,仲
1381,虫
1382,沖
1383,宙
1384,忠
1385,抽
1386,注
1387,昼
1388,柱
1389,衷
1390,酎
1391,鋳
1392,駐
1393,著
1394,貯
1395,丁
1396,弔
1397,庁
1398,兆
1399,町
1400,長
1401,挑
1402,帳
1403,張
1404,彫
1405,眺
1406,釣
1407,頂
1408,鳥
1409,朝
1410,脹
1411,貼
1412,超
1413,腸
1414,跳
1415,徴
1416,嘲
1417,潮
1418,澄
1419,調
1420,聴
1421,懲
1422,直
1423,勅
1424,捗
1425,沈
1426,珍
1427,朕
1428,陳
1429,賃
1430,鎮
1431,追
1432,椎
1433,墜
1434,通
1435,痛
1436,塚
1437,漬
1438,坪
1439,爪
1440,鶴
1441,低
1442,呈
1443,廷
1444,弟
1445,定
1446,底
1447,抵
1448,邸
1449,亭
1450,貞
1451,帝
1452,訂
1453,庭
1454,逓
1455,停
1456,偵
1457,堤
1458,提
1459,程
1460,艇
1461,締
1462,諦
1463,泥
1464,的
1465,笛
1466,摘
1467,滴
1468,適
1469,敵
1470,溺
1471,迭
1472,哲
1473,鉄
1474,徹
1475,撤
1476,天
1477,典
1478,店
1479,点
1480,展
1481,添
1482,転
1483,?
1484,田
1485,伝
1486,殿
1487,電
1488,斗
1489,吐
1490,妬
1491,徒
1492,途
1493,都
1494,渡
1495,塗
1496,賭
1497,土
1498,奴
1499,努
1500,度
1501,怒
1502,刀
1503,冬
1504,灯
1505,当
1506,投
1507,豆
1508,東
1509,到
1510,逃
1511,倒
1512,凍
1513,唐
1514,島
1515,桃
1516,討
1517,透
1518,党
1519,悼
1520,盗
1521,陶
1522,塔
1523,搭
1524,棟
1525,湯
1526,痘
1527,登
1528,答
1529,等
1530,筒
1531,統
1532,稲
1533,踏
1534,糖
1535,頭
1536,謄
1537,藤
1538,闘
1539,騰
1540,同
1541,洞
1542,胴
1543,動
1544,堂
1545,童
1546,道
1547,働
1548,銅
1549,導
1550,瞳
1551,峠
1552,匿
1553,特
1554,得
1555,督
1556,徳
1557,篤
1558,毒
1559,独
1560,読
1561,栃
1562,凸
1563,突
1564,届
1565,屯
1566,豚
1567,頓
1568,貪
1569,鈍
1570,曇
1571,丼
1572,那
1573,奈
1574,内
1575,梨
1576,謎
1577,鍋
1578,南
1579,軟
1580,難
1581,二
1582,尼
1583,弐
1584,匂
1585,肉
1586,虹
1587,日
1588,入
1589,乳
1590,尿
1591,任
1592,妊
1593,忍
1594,認
1595,寧
1596,熱
1597,年
1598,念
1599,捻
1600,粘
1601,燃
1602,悩
1603,納
1604,能
1605,脳
1606,農
1607,濃
1608,把
1609,波
1610,派
1611,破
1612,覇
1613,馬
1614,婆
1615,罵
1616,拝
1617,杯
1618,背
1619,肺
1620,俳
1621,配
1622,排
1623,敗
1624,廃
1625,輩
1626,売
1627,倍
1628,梅
1629,培
1630,陪
1631,媒
1632,買
1633,賠
1634,白
1635,伯
1636,拍
1637,泊
1638,迫
1639,?
1640,舶
1641,博
1642,薄
1643,麦
1644,漠
1645,縛
1646,爆
1647,箱
1648,箸
1649,畑
1650,肌
1651,八
1652,鉢
1653,発
1654,髪
1655,伐
1656,抜
1657,罰
1658,閥
1659,反
1660,半
1661,氾
1662,犯
1663,帆
1664,汎
1665,伴
1666,判
1667,坂
1668,阪
1669,板
1670,版
1671,班
1672,畔
1673,般
1674,販
1675,斑
1676,飯
1677,搬
1678,煩
1679,頒
1680,範
1681,繁
1682,藩
1683,晩
1684,番
1685,蛮
1686,盤
1687,比
