id,kanjis_id,read_full,yomigana,okurigana,is_japanese_reading
1,1,ア,ア,,false
2,2,アイ,アイ,,false
3,2,あわ-れ,あわ,れ,true
4,2,あわ-れむ,あわ,れむ,true
5,3,アイ,アイ,,false
6,4,アイ,アイ,,false
7,5,アイ,アイ,,false
8,6,アク,アク,,false
9,6,オ,オ,,false
10,6,わる-い,わる,い,true
11,7,アク,アク,,false
12,7,にぎ-る,にぎ,る,true
13,8,アツ,アツ,,false
14,9,あつか-う,あつか,う,true
15,10,あ-てる,あ,てる,true
16,11,あらし,あらし,,true
17,12,アン,アン,,false
18,12,やす-い,やす,い,true
19,13,アン,アン,,false
20,14,アン,アン,,false
21,14,くら-い,くら,い,true
22,15,イ,イ,,false
23,16,イ,イ,,false
24,16,ころも,ころも,,true
25,17,イ,イ,,false
26,17,くらい,くらい,,true
27,18,イ,イ,,false
28,18,かこ-む,かこ,む,true
29,18,かこ-う,かこ,う,true
30,19,イ,イ,,false
31,20,イ,イ,,false
32,20,エ,エ,,false
33,21,イ,イ,,false
34,21,ゆだ-ねる,ゆだ,ねる,true
35,22,イ,イ,,false
36,23,イ,イ,,false
37,24,イ,イ,,false
38,24,おそ-れる,おそ,れる,true
39,25,イ,イ,,false
40,26,イ,イ,,false
41,27,イ,イ,,false
42,27,こと,こと,,true
43,28,イ,イ,,false
44,28,うつ-る,うつ,る,true
45,28,うつ-す,うつ,す,true
46,29,イ,イ,,false
47,29,な-える,な,える,true
48,30,イ,イ,,false
49,30,えら-い,えら,い,true
50,31,イ,イ,,false
51,32,イ,イ,,false
52,33,イ,イ,,false
53,34,イ,イ,,false
54,34,ちが-う,ちが,う,true
55,34,ちが-える,ちが,える,true
56,35,イ,イ,,false
57,36,イ,イ,,false
58,36,なぐさ-める,なぐさ,める,true
59,36,なぐさ-む,なぐさ,む,true
60,37,イ,イ,,false
61,37,ユイ,ユイ,,false
62,38,イ,イ,,false
63,39,イキ,イキ,,false
64,40,イク,イク,,false
65,40,そだ-つ,そだ,つ,true
66,40,そだ-てる,そだ,てる,true
67,40,はぐく-む,はぐく,む,true
68,41,イチ,イチ,,false
69,41,イツ,イツ,,false
70,41,ひと,ひと,,true
71,41,ひと-つ,ひと,つ,true
72,42,イチ,イチ,,false
73,43,イツ,イツ,,false
74,44,いばら,いばら,,true
75,45,いも,いも,,true
76,46,イン,イン,,false
77,46,ひ-く,ひ,く,true
78,46,ひ-ける,ひ,ける,true
79,47,イン,イン,,false
80,47,しるし,しるし,,true
81,48,イン,イン,,false
82,48,よ-る,よ,る,true
83,49,イン,イン,,false
84,50,イン,イン,,false
85,51,イン,イン,,false
86,52,イン,イン,,false
87,53,イン,イン,,false
88,53,みだ-ら,みだ,ら,true
89,54,イン,イン,,false
90,54,かげ,かげ,,true
91,54,かげ-る,かげ,る,true
92,55,イン,イン,,false
93,55,の-む,の,む,true
94,56,イン,イン,,false
95,56,かく-す,かく,す,true
96,56,かく-れる,かく,れる,true
97,57,イン,イン,,false
98,58,ウ,ウ,,false
99,58,ユウ,ユウ,,false
100,58,みぎ,みぎ,,true
101,59,ウ,ウ,,false
102,60,ウ,ウ,,false
103,60,は,は,,true
104,60,はね,はね,,true
105,61,ウ,ウ,,false
106,61,あめ,あめ,,true
107,61,あま,あま,,true
108,62,うた,うた,,true
109,63,ウツ,ウツ,,false
110,64,うね,うね,,true
111,65,うら,うら,,true
112,66,ウン,ウン,,false
113,66,はこ-ぶ,はこ,ぶ,true
114,67,ウン,ウン,,false
115,67,くも,くも,,true
116,68,エイ,エイ,,false
117,68,なが-い,なが,い,true
118,69,エイ,エイ,,false
119,69,およ-ぐ,およ,ぐ,true
120,70,エイ,エイ,,false
121,71,エイ,エイ,,false
122,71,うつ-る,うつ,る,true
123,71,うつ-す,うつ,す,true
124,71,は-える,は,える,true
125,72,エイ,エイ,,false
126,72,さか-える,さか,える,true
127,72,は-え,は,え,true
128,72,は-える,は,える,true
129,73,エイ,エイ,,false
130,73,いとな-む,いとな,む,true
131,74,エイ,エイ,,false
132,74,よ-む,よ,む,true
133,75,エイ,エイ,,false
134,75,かげ,かげ,,true
135,76,エイ,エイ,,false
136,76,するど-い,するど,い,true
137,77,エイ,エイ,,false
138,78,エキ,エキ,,false
139,78,イ,イ,,false
140,78,やさ-しい,やさ,しい,true
141,79,エキ,エキ,,false
142,79,ヤク,ヤク,,false
143,80,エキ,エキ,,false
144,80,ヤク,ヤク,,false
145,81,エキ,エキ,,false
146,82,エキ,エキ,,false
147,83,エツ,エツ,,false
148,84,エツ,エツ,,false
149,84,こ-す,こ,す,true
150,84,こ-える,こ,える,true
151,85,エツ,エツ,,false
152,86,エツ,エツ,,false
153,87,エン,エン,,false
154,87,まる-い,まる,い,true
155,88,エン,エン,,false
156,88,の-びる,の,びる,true
157,88,の-べる,の,べる,true
158,88,の-ばす,の,ばす,true
159,89,エン,エン,,false
160,89,そ-う,そ,う,true
161,90,エン,エン,,false
162,90,ほのお,ほのお,,true
163,91,エン,エン,,false
164,91,オン,オン,,false
165,92,エン,エン,,false
166,93,エン,エン,,false
167,94,エン,エン,,false
168,95,エン,エン,,false
169,95,その,その,,true
170,96,エン,エン,,false
171,96,けむ-る,けむ,る,true
172,96,けむり,けむり,,true
173,96,けむ-い,けむ,い,true
174,97,エン,エン,,false
175,97,さる,さる,,true
176,98,エン,エン,,false
177,98,オン,オン,,false
178,98,とお-い,とお,い,true
179,99,エン,エン,,false
180,99,なまり,なまり,,true
181,100,エン,エン,,false
182,100,しお,しお,,true
183,101,エン,エン,,false
184,102,エン,エン,,false
185,102,ふち,ふち,,true
186,103,エン,エン,,false
187,103,つや,つや,,true
188,104,オ,オ,,false
189,104,けが-す,けが,す,true
190,104,けが-れる,けが,れる,true
191,104,けが-らわしい,けが,らわしい,true
192,104,よご-す,よご,す,true
193,104,よご-れる,よご,れる,true
194,104,きたな-い,きたな,い,true
195,105,オウ,オウ,,false
196,106,オウ,オウ,,false
197,107,オウ,オウ,,false
198,108,オウ,オウ,,false
199,108,こた-える,こた,える,true
200,109,オウ,オウ,,false
201,110,オウ,オウ,,false
202,110,お-す,お,す,true
203,110,お-さえる,お,さえる,true
204,111,オウ,オウ,,false
205,112,オウ,オウ,,false
206,113,オウ,オウ,,false
207,113,なぐ-る,なぐ,る,true
208,114,オウ,オウ,,false
209,114,さくら,さくら,,true
210,115,オウ,オウ,,false
211,116,オウ,オウ,,false
212,116,おく,おく,,true
213,117,オウ,オウ,,false
214,117,よこ,よこ,,true
215,118,おか,おか,,true
